city,address,new,rooms,square,floor,floors,price,Пермь,Березники,Оханск,Чайковский,д. Кондратово,остальные
Пермь,"р-н Дзержинский, мкр. ДКЖ, улица Татьяны Барамзиной, 32В",0,2,255.43,2,17,8618400.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1Ак5",1,2,66.0,1,4,8605674.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1Ак3",1,2,61.9,1,4,8717585.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1Ак2",1,2,65.6,1,4,8780373.0,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, Целинная улица, 47Б",1,3,81.3,1,7,8857594.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, мкр. Центр, улица Окулова, 20",0,2,197.73,6,24,8830500.0,1,0,0,0,0,0
Пермь,"р-н Дзержинский, мкр. ДКЖ, улица Татьяны Барамзиной, 32В",0,3,253.65,3,17,8814400.0,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, улица Серебристая, 18",1,3,66.5,2,16,8983800.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1Ак4",1,2,66.0,1,4,8977052.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1Ак6",1,2,65.8,1,4,8948468.0,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, мкр. Рабочий поселок, улица Анри Барбюса, 53",0,3,274.51,10,10,8950000.0,1,0,0,0,0,0
Пермь,"р-н Свердловский, мкр. Громовский, улица Елькина, 14",0,3,232.63,4,10,9050000.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1Ак3",1,2,66.0,1,4,9043996.0,1,0,0,0,0,0
Пермь,"р-н Свердловский, мкр. Островский, улица Революции, 2А",1,2,68.4,18,25,9063000.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1Ак3",1,3,72.9,3,4,9161747.0,1,0,0,0,0,0
Пермь,"р-н Свердловский, мкр. Островский, улица Революции, 2А",1,2,70.25,14,25,9167625.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1Ак5",1,1,48.5,1,4,9215000.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, мкр. Центр, улица Окулова, 20",0,2,192.01,5,24,9215000.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, мкр. Разгуляй, Екатерининская улица, 10",0,1,209.73,3,6,9200000.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1Ак4",1,2,69.7,4,4,9298301.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1Ак6",1,2,70.1,2,4,9430641.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, мкр. Центр, улица Окулова, 20",0,2,218.54,2,24,9449980.0,1,0,0,0,0,0
